Date_reported,Country_code,Country,Continent,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-07-31,AF,Afghanistan,Asia,EMRO,1106.0,185580,9.0,7747
2022-08-07,AF,Afghanistan,Asia,EMRO,1466.0,187046,5.0,7752
2022-08-14,AF,Afghanistan,Asia,EMRO,1785.0,188831,6.0,7758
2022-08-21,AF,Afghanistan,Asia,EMRO,1604.0,190435,1.0,7759
2022-08-28,AF,Afghanistan,Asia,EMRO,1773.0,192208,15.0,7774
2022-09-04,AF,Afghanistan,Asia,EMRO,1679.0,193887,6.0,7780
2022-09-11,AF,Afghanistan,Asia,EMRO,1760.0,195647,7.0,7787
2022-09-18,AF,Afghanistan,Asia,EMRO,1435.0,197082,7.0,7794
2022-09-25,AF,Afghanistan,Asia,EMRO,1201.0,198283,2.0,7796
2022-10-02,AF,Afghanistan,Asia,EMRO,989.0,199272,3.0,7799
2022-10-09,AF,Afghanistan,Asia,EMRO,927.0,200199,5.0,7804
2022-10-16,AF,Afghanistan,Asia,EMRO,897.0,201096,7.0,7811
2022-10-23,AF,Afghanistan,Asia,EMRO,933.0,202029,7.0,7818
2022-10-30,AF,Afghanistan,Asia,EMRO,805.0,202834,3.0,7821
2022-11-06,AF,Afghanistan,Asia,EMRO,784.0,203618,5.0,7826
2022-11-13,AF,Afghanistan,Asia,EMRO,813.0,204431,3.0,7829
2022-11-20,AF,Afghanistan,Asia,EMRO,581.0,205012,2.0,7831
2022-11-27,AF,Afghanistan,Asia,EMRO,584.0,205596,2.0,7833
2022-12-04,AF,Afghanistan,Asia,EMRO,568.0,206164,1.0,7834
2022-12-11,AF,Afghanistan,Asia,EMRO,381.0,206545,5.0,7839
2022-12-18,AF,Afghanistan,Asia,EMRO,441.0,206986,5.0,7844
2022-12-25,AF,Afghanistan,Asia,EMRO,336.0,207322,1.0,7845
2023-01-01,AF,Afghanistan,Asia,EMRO,257.0,207579,4.0,7849
2023-01-08,AF,Afghanistan,Asia,EMRO,201.0,207780,2.0,7851
2023-01-15,AF,Afghanistan,Asia,EMRO,173.0,207953,4.0,7855
2023-01-22,AF,Afghanistan,Asia,EMRO,144.0,208097,5.0,7860
2023-01-29,AF,Afghanistan,Asia,EMRO,323.0,208420,6.0,7866
2023-02-05,AF,Afghanistan,Asia,EMRO,272.0,208692,8.0,7874
2023-02-12,AF,Afghanistan,Asia,EMRO,164.0,208856,3.0,7877
2023-02-19,AF,Afghanistan,Asia,EMRO,230.0,209086,,7877
2023-02-26,AF,Afghanistan,Asia,EMRO,165.0,209251,1.0,7878
2023-03-05,AF,Afghanistan,Asia,EMRO,118.0,209369,1.0,7879
2023-03-12,AF,Afghanistan,Asia,EMRO,141.0,209510,1.0,7880
2023-03-19,AF,Afghanistan,Asia,EMRO,239.0,209749,1.0,7881
2023-03-26,AF,Afghanistan,Asia,EMRO,331.0,210080,1.0,7882
2023-04-02,AF,Afghanistan,Asia,EMRO,548.0,210628,1.0,7883
2023-04-09,AF,Afghanistan,Asia,EMRO,884.0,211512,1.0,7884
2023-04-16,AF,Afghanistan,Asia,EMRO,1100.0,212612,1.0,7885
2023-04-23,AF,Afghanistan,Asia,EMRO,1458.0,214070,2.0,7887
2023-04-30,AF,Afghanistan,Asia,EMRO,810.0,214880,5.0,7892
2023-05-07,AF,Afghanistan,Asia,EMRO,1876.0,216756,5.0,7897
2023-05-14,AF,Afghanistan,Asia,EMRO,1983.0,218739,11.0,7908
2023-05-21,AF,Afghanistan,Asia,EMRO,1428.0,220167,5.0,7913
2023-05-28,AF,Afghanistan,Asia,EMRO,1050.0,221217,2.0,7915
2023-06-04,AF,Afghanistan,Asia,EMRO,778.0,221995,4.0,7919
2023-06-11,AF,Afghanistan,Asia,EMRO,531.0,222526,1.0,7920
2023-06-18,AF,Afghanistan,Asia,EMRO,433.0,222959,2.0,7922
2023-06-25,AF,Afghanistan,Asia,EMRO,197.0,223156,6.0,7928
2023-07-02,AF,Afghanistan,Asia,EMRO,124.0,223280,,7928
2023-07-09,AF,Afghanistan,Asia,EMRO,326.0,223606,3.0,7931
2023-07-16,AF,Afghanistan,Asia,EMRO,179.0,223785,1.0,7932
2023-07-23,AF,Afghanistan,Asia,EMRO,245.0,224030,2.0,7934
2023-07-30,AF,Afghanistan,Asia,EMRO,194.0,224224,1.0,7935
2023-08-06,AF,Afghanistan,Asia,EMRO,195.0,224419,3.0,7938
2023-08-13,AF,Afghanistan,Asia,EMRO,242.0,224661,2.0,7940
2023-08-20,AF,Afghanistan,Asia,EMRO,209.0,224870,2.0,7942
2023-08-27,AF,Afghanistan,Asia,EMRO,229.0,225099,,7942
2023-09-03,AF,Afghanistan,Asia,EMRO,277.0,225376,2.0,7944
2023-09-10,AF,Afghanistan,Asia,EMRO,216.0,225592,2.0,7946
2023-09-17,AF,Afghanistan,Asia,EMRO,200.0,225792,,7946
2023-09-24,AF,Afghanistan,Asia,EMRO,207.0,225999,1.0,7947
2023-10-01,AF,Afghanistan,Asia,EMRO,248.0,226247,3.0,7950
2023-10-08,AF,Afghanistan,Asia,EMRO,309.0,226556,1.0,7951
2023-10-15,AF,Afghanistan,Asia,EMRO,307.0,226863,1.0,7952
2023-10-22,AF,Afghanistan,Asia,EMRO,293.0,227156,,7952
2023-10-29,AF,Afghanistan,Asia,EMRO,383.0,227539,1.0,7953
2023-11-05,AF,Afghanistan,Asia,EMRO,353.0,227892,3.0,7956
2023-11-12,AF,Afghanistan,Asia,EMRO,371.0,228263,4.0,7960
2023-11-19,AF,Afghanistan,Asia,EMRO,432.0,228695,1.0,7961
2023-11-26,AF,Afghanistan,Asia,EMRO,280.0,228975,2.0,7963
2023-12-03,AF,Afghanistan,Asia,EMRO,288.0,229263,2.0,7965
2023-12-10,AF,Afghanistan,Asia,EMRO,104.0,229367,,7965
2023-12-17,AF,Afghanistan,Asia,EMRO,336.0,229703,,7965
2023-12-24,AF,Afghanistan,Asia,EMRO,372.0,230075,5.0,7970
2023-12-31,AF,Afghanistan,Asia,EMRO,300.0,230375,3.0,7973
2024-01-07,AF,Afghanistan,Asia,EMRO,267.0,230642,,7973
2024-01-14,AF,Afghanistan,Asia,EMRO,213.0,230855,2.0,7975
2024-01-21,AF,Afghanistan,Asia,EMRO,197.0,231052,1.0,7976
2024-01-28,AF,Afghanistan,Asia,EMRO,258.0,231310,5.0,7981
2024-02-04,AF,Afghanistan,Asia,EMRO,211.0,231521,,7981
2024-02-11,AF,Afghanistan,Asia,EMRO,235.0,231756,1.0,7982
2024-02-18,AF,Afghanistan,Asia,EMRO,240.0,231996,1.0,7983
2024-02-25,AF,Afghanistan,Asia,EMRO,225.0,232221,,7983
2024-03-03,AF,Afghanistan,Asia,EMRO,278.0,232499,5.0,7988
2024-03-10,AF,Afghanistan,Asia,EMRO,163.0,232662,3.0,7991
2024-03-17,AF,Afghanistan,Asia,EMRO,259.0,232921,,7991
2024-03-24,AF,Afghanistan,Asia,EMRO,197.0,233118,2.0,7993
2024-03-31,AF,Afghanistan,Asia,EMRO,222.0,233340,3.0,7996
2024-04-07,AF,Afghanistan,Asia,EMRO,342.0,233682,,7996
2024-04-14,AF,Afghanistan,Asia,EMRO,396.0,234078,,7996
2024-04-21,AF,Afghanistan,Asia,EMRO,146.0,234224,,7996
2024-04-28,AF,Afghanistan,Asia,EMRO,352.0,234576,1.0,7997
2024-05-05,AF,Afghanistan,Asia,EMRO,638.0,235214,1.0,7998
2024-05-12,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-05-19,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-05-26,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-06-02,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-06-09,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-06-16,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-06-23,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-06-30,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-07-07,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-07-14,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-07-21,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-07-28,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-08-04,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-08-11,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-08-18,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-08-25,AF,Afghanistan,Asia,EMRO,,235214,,7998
2024-09-01,AF,Afghanistan,Asia,EMRO,,235214,,7998
2020-01-05,AL,Albania,Europe,EURO,,0,,0
2020-01-12,AL,Albania,Europe,EURO,,0,,0
2020-01-19,AL,Albania,Europe,EURO,,0,,0
2020-01-26,AL,Albania,Europe,EURO,,0,,0
2020-02-02,AL,Albania,Europe,EURO,,0,,0
2020-02-09,AL,Albania,Europe,EURO,,0,,0
2020-02-16,AL,Albania,Europe,EURO,,0,,0
2020-02-23,AL,Albania,Europe,EURO,,0,,0
2020-03-01,AL,Albania,Europe,EURO,,0,,0
2020-03-08,AL,Albania,Europe,EURO,,0,,0
2020-03-15,AL,Albania,Europe,EURO,33.0,33,1.0,1
2020-03-22,AL,Albania,Europe,EURO,37.0,70,1.0,2
2020-03-29,AL,Albania,Europe,EURO,116.0,186,6.0,8
2020-04-05,AL,Albania,Europe,EURO,118.0,304,9.0,17
2020-04-12,AL,Albania,Europe,EURO,112.0,416,6.0,23
2020-04-19,AL,Albania,Europe,EURO,123.0,539,3.0,26
2020-04-26,AL,Albania,Europe,EURO,139.0,678,1.0,27
2020-05-03,AL,Albania,Europe,EURO,104.0,782,4.0,31
2020-05-10,AL,Albania,Europe,EURO,68.0,850,,31
2020-05-17,AL,Albania,Europe,EURO,66.0,916,,31
2020-05-24,AL,Albania,Europe,EURO,65.0,981,,31
2020-05-31,AL,Albania,Europe,EURO,118.0,1099,2.0,33
2020-06-07,AL,Albania,Europe,EURO,113.0,1212,,33
2020-06-14,AL,Albania,Europe,EURO,204.0,1416,3.0,36
2020-06-21,AL,Albania,Europe,EURO,422.0,1838,6.0,42
2020-06-28,AL,Albania,Europe,EURO,431.0,2269,9.0,51
2020-07-05,AL,Albania,Europe,EURO,483.0,2752,21.0,72
2020-07-12,AL,Albania,Europe,EURO,526.0,3278,13.0,85
2020-07-19,AL,Albania,Europe,EURO,628.0,3906,22.0,107
2020-07-26,AL,Albania,Europe,EURO,664.0,4570,21.0,128
2020-08-02,AL,Albania,Europe,EURO,706.0,5276,29.0,157
2020-08-09,AL,Albania,Europe,EURO,875.0,6151,32.0,189
2020-08-16,AL,Albania,Europe,EURO,966.0,7117,30.0,219
2020-08-23,AL,Albania,Europe,EURO,1002.0,8119,21.0,240
2020-08-30,AL,Albania,Europe,EURO,1076.0,9195,31.0,271
2020-09-06,AL,Albania,Europe,EURO,772.0,9967,35.0,306
2020-09-13,AL,Albania,Europe,EURO,1054.0,11021,21.0,327
2020-09-20,AL,Albania,Europe,EURO,1052.0,12073,26.0,353
2020-09-27,AL,Albania,Europe,EURO,972.0,13045,20.0,373
2020-10-04,AL,Albania,Europe,EURO,920.0,13965,16.0,389
2020-10-11,AL,Albania,Europe,EURO,1101.0,15066,24.0,413
2020-10-18,AL,Albania,Europe,EURO,1435.0,16501,30.0,443
2020-10-25,AL,Albania,Europe,EURO,2055.0,18556,26.0,469
2020-11-01,AL,Albania,Europe,EURO,2078.0,20634,33.0,502
2020-11-08,AL,Albania,Europe,EURO,2576.0,23210,47.0,549
2020-11-15,AL,Albania,Europe,EURO,3491.0,26701,56.0,605
2020-11-22,AL,Albania,Europe,EURO,4758.0,31459,67.0,672
2020-11-29,AL,Albania,Europe,EURO,4786.0,36245,99.0,771
2020-12-06,AL,Albania,Europe,EURO,5057.0,41302,99.0,870
2020-12-13,AL,Albania,Europe,EURO,5561.0,46863,107.0,977
2020-12-20,AL,Albania,Europe,EURO,5141.0,52004,89.0,1066
2020-12-27,AL,Albania,Europe,EURO,3376.0,55380,68.0,1134
2021-01-03,AL,Albania,Europe,EURO,3343.0,58723,52.0,1186
2021-01-10,AL,Albania,Europe,EURO,3655.0,62378,44.0,1230
2021-01-17,AL,Albania,Europe,EURO,4257.0,66635,35.0,1265
2021-01-24,AL,Albania,Europe,EURO,4020.0,70655,38.0,1303
2021-01-31,AL,Albania,Europe,EURO,5695.0,76350,55.0,1358
2021-02-07,AL,Albania,Europe,EURO,6732.0,83082,75.0,1433
2021-02-14,AL,Albania,Europe,EURO,7753.0,90835,98.0,1531
2021-02-21,AL,Albania,Europe,EURO,7074.0,97909,105.0,1636
2021-02-28,AL,Albania,Europe,EURO,7320.0,105229,120.0,1756
2021-03-07,AL,Albania,Europe,EURO,6072.0,111301,141.0,1897
2021-03-14,AL,Albania,Europe,EURO,4822.0,116123,121.0,2018
2021-03-21,AL,Albania,Europe,EURO,3899.0,120022,104.0,2122
2021-03-28,AL,Albania,Europe,EURO,3194.0,123216,70.0,2192
2021-04-04,AL,Albania,Europe,EURO,2626.0,125842,55.0,2247
2021-04-11,AL,Albania,Europe,EURO,1953.0,127795,57.0,2304
2021-04-18,AL,Albania,Europe,EURO,1512.0,129307,33.0,2337
2021-04-25,AL,Albania,Europe,EURO,963.0,130270,30.0,2367
2021-05-02,AL,Albania,Europe,EURO,815.0,131085,27.0,2394
2021-05-09,AL,Albania,Europe,EURO,492.0,131577,14.0,2408
2021-05-16,AL,Albania,Europe,EURO,362.0,131939,19.0,2427
2021-05-23,AL,Albania,Europe,EURO,214.0,132153,14.0,2441
2021-05-30,AL,Albania,Europe,EURO,132.0,132285,7.0,2448
2021-06-06,AL,Albania,Europe,EURO,87.0,132372,3.0,2451
2021-06-13,AL,Albania,Europe,EURO,65.0,132437,2.0,2453
2021-06-20,AL,Albania,Europe,EURO,47.0,132484,1.0,2454
2021-06-27,AL,Albania,Europe,EURO,22.0,132506,1.0,2455
2021-07-04,AL,Albania,Europe,EURO,20.0,132526,1.0,2456
2021-07-11,AL,Albania,Europe,EURO,54.0,132580,,2456
2021-07-18,AL,Albania,Europe,EURO,67.0,132647,,2456
2021-07-25,AL,Albania,Europe,EURO,181.0,132828,,2456
2021-08-01,AL,Albania,Europe,EURO,208.0,133036,1.0,2457
2021-08-08,AL,Albania,Europe,EURO,555.0,133591,1.0,2458
2021-08-15,AL,Albania,Europe,EURO,1549.0,135140,3.0,2461
2021-08-22,AL,Albania,Europe,EURO,2992.0,138132,14.0,2475
2021-08-29,AL,Albania,Europe,EURO,5042.0,143174,12.0,2487
2021-09-05,AL,Albania,Europe,EURO,5943.0,149117,21.0,2508
2021-09-12,AL,Albania,Europe,EURO,6176.0,155293,27.0,2535
2021-09-19,AL,Albania,Europe,EURO,6031.0,161324,34.0,2569
2021-09-26,AL,Albania,Europe,EURO,5366.0,166690,50.0,2619
2021-10-03,AL,Albania,Europe,EURO,4088.0,170778,86.0,2705
2021-10-10,AL,Albania,Europe,EURO,3390.0,174168,48.0,2753
2021-10-17,AL,Albania,Europe,EURO,2940.0,177108,54.0,2807
2021-10-24,AL,Albania,Europe,EURO,3515.0,180623,56.0,2863
2021-10-31,AL,Albania,Europe,EURO,3717.0,184340,46.0,2909
2021-11-07,AL,Albania,Europe,EURO,3654.0,187994,39.0,2948
2021-11-14,AL,Albania,Europe,EURO,4019.0,192013,35.0,2983
2021-11-21,AL,Albania,Europe,EURO,3510.0,195523,46.0,3029
2021-11-28,AL,Albania,Europe,EURO,3209.0,198732,48.0,3077
2021-12-05,AL,Albania,Europe,EURO,2313.0,201045,31.0,3108
2021-12-12,AL,Albania,Europe,EURO,2170.0,203215,22.0,3130
2021-12-19,AL,Albania,Europe,EURO,2009.0,205224,28.0,3158
2021-12-26,AL,Albania,Europe,EURO,1997.0,207221,29.0,3187
2022-01-02,AL,Albania,Europe,EURO,3003.0,210224,30.0,3217
2022-01-09,AL,Albania,Europe,EURO,6462.0,216686,16.0,3233
2022-01-16,AL,Albania,Europe,EURO,12091.0,228777,29.0,3262
2022-01-23,AL,Albania,Europe,EURO,15405.0,244182,30.0,3292
2022-01-30,AL,Albania,Europe,EURO,11559.0,255741,42.0,3334
2022-02-06,AL,Albania,Europe,EURO,7431.0,263172,37.0,3371
2022-02-13,AL,Albania,Europe,EURO,4379.0,267551,36.0,3407
2022-02-20,AL,Albania,Europe,EURO,2353.0,269904,26.0,3433
2022-02-27,AL,Albania,Europe,EURO,1410.0,271314,27.0,3460
2022-03-06,AL,Albania,Europe,EURO,716.0,272030,18.0,3478
2022-03-13,AL,Albania,Europe,EURO,522.0,272552,7.0,3485
2022-03-20,AL,Albania,Europe,EURO,409.0,272961,2.0,3487
2022-03-27,AL,Albania,Europe,EURO,357.0,273318,3.0,3490
2022-04-03,AL,Albania,Europe,EURO,441.0,273759,2.0,3492
2022-04-10,AL,Albania,Europe,EURO,349.0,274108,,3492
2022-04-17,AL,Albania,Europe,EURO,268.0,274376,3.0,3495
2022-04-24,AL,Albania,Europe,EURO,309.0,274685,1.0,3496
2022-05-01,AL,Albania,Europe,EURO,317.0,275002,,3496
2022-05-08,AL,Albania,Europe,EURO,264.0,275266,,3496
